FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
6	3934.6500000000	2.1400000000	-4.1200000000	33.5000000000	-203.0000000000	7.5000000000	601.2000000000	168.8000000000	2017-198	19:07:25.233
7	3935.2700000000	3.9100000000	-4.9800000000	33.5000000000	-205.6000000000	0.6000000000	601.5000000000	164.2000000000	2017-198	19:07:25.857
8	3935.9000000000	3.2600000000	-4.2100000000	33.5000000000	-203.8000000000	3.0000000000	601.5000000000	166.3000000000	2017-198	19:07:26.497
9	3936.5300000000	1.9600000000	-3.9500000000	33.5000000000	-203.2000000000	8.4000000000	601.2000000000	169.2000000000	2017-198	19:07:27.152
10	3937.1700000000	3.5100000000	-4.7000000000	33.5000000000	-204.2000000000	5.3000000000	601.5000000000	164.2000000000	2017-198	19:07:27.792
11	3937.8000000000	3.1600000000	-4.1300000000	33.5000000000	-203.4000000000	3.9000000000	601.7000000000	166.4000000000	2017-198	19:07:28.400
12	3938.4300000000	2.3600000000	-4.2300000000	33.6000000000	-204.7000000000	7.5000000000	601.4000000000	168.0000000000	2017-198	19:07:29.024
13	3939.0600000000	3.0700000000	-4.9100000000	33.5000000000	-204.4000000000	6.2000000000	601.5000000000	165.3000000000	2017-198	19:07:29.664
14	3939.6900000000	3.0300000000	-3.8800000000	33.5000000000	-201.8000000000	4.8000000000	601.2000000000	166.6000000000	2017-198	19:07:30.272
15	3940.3200000000	2.7200000000	-4.4600000000	33.5000000000	-205.2000000000	6.6000000000	601.5000000000	166.9000000000	2017-198	19:07:30.990
16	3940.9500000000	3.6400000000	-5.0100000000	33.6000000000	-205.5000000000	4.8000000000	601.1000000000	163.7000000000	2017-198	19:07:31.536
17	3941.5800000000	3.1300000000	-3.8200000000	33.5000000000	-200.3000000000	8.2000000000	601.5000000000	165.0000000000	2017-198	19:07:32.191
18	3942.2200000000	2.1400000000	-4.1400000000	33.5000000000	-202.6000000000	12.2000000000	601.2000000000	167.1000000000	2017-198	19:07:32.830
19	3942.8500000000	3.4000000000	-5.3000000000	33.5000000000	-206.2000000000	7.7000000000	601.2000000000	163.3000000000	2017-198	19:07:33.548
20	3943.4800000000	2.8300000000	-3.8800000000	33.5000000000	-201.6000000000	6.6000000000	601.2000000000	166.7000000000	2017-198	19:07:34.141
21	3944.1100000000	2.3300000000	-4.1400000000	33.5000000000	-203.2000000000	9.1000000000	601.0000000000	167.6000000000	2017-198	19:07:34.796
22	3944.7400000000	3.6400000000	-5.0500000000	33.5000000000	-205.6000000000	5.7000000000	601.5000000000	163.3000000000	2017-198	19:07:35.342
23	3945.3700000000	2.9100000000	-4.1100000000	33.5000000000	-202.6000000000	4.8000000000	601.0000000000	166.9000000000	2017-198	19:07:35.966
24	3946.0000000000	2.6900000000	-4.1700000000	33.5000000000	-204.2000000000	7.3000000000	601.5000000000	166.9000000000	2017-198	19:07:36.590
25	3946.6400000000	3.4900000000	-4.9300000000	33.5000000000	-205.2000000000	6.6000000000	601.2000000000	163.6000000000	2017-198	19:07:37.230
26	3947.2700000000	2.9200000000	-4.0900000000	33.6000000000	-202.5000000000	6.4000000000	601.4000000000	166.3000000000	2017-198	19:07:37.963
27	3947.8900000000	2.7800000000	-4.0900000000	33.6000000000	-204.1000000000	7.1000000000	601.4000000000	166.7000000000	2017-198	19:07:38.509
28	3948.5200000000	3.4900000000	-4.9300000000	33.6000000000	-205.1000000000	5.0000000000	601.4000000000	164.2000000000	2017-198	19:07:39.117
29	3949.1500000000	2.8600000000	-4.0800000000	33.5000000000	-202.8000000000	4.8000000000	601.2000000000	167.1000000000	2017-198	19:07:39.850
30	3949.7900000000	2.7500000000	-4.4300000000	33.5000000000	-203.8000000000	6.4000000000	601.5000000000	166.7000000000	2017-198	19:07:40.428
31	3950.4200000000	3.0300000000	-4.8200000000	33.5000000000	-204.2000000000	3.7000000000	601.2000000000	166.4000000000	2017-198	19:07:41.005
32	3951.0500000000	3.0000000000	-3.9900000000	33.5000000000	-203.8000000000	2.8000000000	601.2000000000	167.4000000000	2017-198	19:07:41.644
33	3951.6800000000	3.2900000000	-4.7000000000	33.5000000000	-205.2000000000	6.4000000000	601.2000000000	164.7000000000	2017-198	19:07:42.315
34	3952.3100000000	2.8200000000	-4.1800000000	33.5000000000	-202.8000000000	5.9000000000	601.2000000000	166.8000000000	2017-198	19:07:42.908
35	3952.9400000000	2.8800000000	-4.1200000000	33.5000000000	-204.4000000000	2.3000000000	601.0000000000	168.0000000000	2017-198	19:07:43.579
36	3953.5800000000	4.6000000000	-4.4600000000	33.5000000000	-206.4000000000	-6.2000000000	601.7000000000	164.6000000000	2017-198	19:07:44.187
37	3954.2100000000	4.5500000000	-4.7100000000	33.5000000000	-205.6000000000	-12.0000000000	601.5000000000	166.5000000000	2017-198	19:07:44.827
38	3954.8400000000	3.5600000000	-4.7800000000	33.5000000000	-207.0000000000	-4.6000000000	601.2000000000	167.6000000000	2017-198	19:07:45.435
39	3955.4700000000	3.1600000000	-4.8200000000	33.5000000000	-206.0000000000	-0.1000000000	601.0000000000	167.4000000000	2017-198	19:07:46.059
40	3956.1100000000	4.1200000000	-4.1400000000	33.5000000000	-205.6000000000	-6.4000000000	601.5000000000	166.6000000000	2017-198	19:07:46.699
41	3956.7400000000	4.7400000000	-5.2900000000	33.5000000000	-208.0000000000	-7.3000000000	601.5000000000	163.8000000000	2017-198	19:07:47.338
42	3957.3700000000	3.9000000000	-4.7100000000	33.5000000000	-205.0000000000	-2.8000000000	601.2000000000	165.6000000000	2017-198	19:07:47.994
43	3958.0000000000	2.9600000000	-3.9900000000	33.5000000000	-205.2000000000	-0.6000000000	601.5000000000	168.8000000000	2017-198	19:07:48.649
44	3958.6300000000	4.1700000000	-5.4500000000	33.5000000000	-209.0000000000	-5.5000000000	601.2000000000	165.2000000000	2017-198	19:07:49.320
45	3959.2600000000	3.6600000000	-4.5100000000	33.6000000000	-205.8000000000	-5.3000000000	601.6000000000	167.6000000000	2017-198	19:07:49.850
46	3959.8900000000	3.3900000000	-4.3400000000	33.5000000000	-205.8000000000	-2.4000000000	601.5000000000	167.7000000000	2017-198	19:07:50.490
47	3960.5300000000	3.4700000000	-5.3700000000	33.5000000000	-208.4000000000	-1.5000000000	601.2000000000	166.4000000000	2017-198	19:07:51.114
48	3961.1600000000	3.5900000000	-4.3800000000	33.5000000000	-206.4000000000	-6.0000000000	601.5000000000	168.2000000000	2017-198	19:07:51.800
49	3961.7900000000	4.2000000000	-4.7800000000	33.5000000000	-206.6000000000	-5.5000000000	601.2000000000	165.6000000000	2017-198	19:07:52.440
50	3962.4200000000	3.2100000000	-4.9300000000	33.5000000000	-207.0000000000	-0.3000000000	601.2000000000	167.3000000000	2017-198	19:07:53.048
51	3963.0500000000	3.5500000000	-4.3800000000	33.6000000000	-207.0000000000	-3.0000000000	601.4000000000	167.4000000000	2017-198	19:07:53.641
52	3963.6900000000	4.4300000000	-5.1300000000	33.5000000000	-206.6000000000	-5.5000000000	601.2000000000	164.4000000000	2017-198	19:07:54.280
53	3964.3200000000	3.3900000000	-4.4400000000	33.5000000000	-205.2000000000	-1.9000000000	601.2000000000	167.4000000000	2017-198	19:07:54.904
54	3964.9500000000	3.8400000000	-4.8200000000	33.5000000000	-207.0000000000	-1.5000000000	601.5000000000	165.4000000000	2017-198	19:07:55.544
55	3965.5800000000	4.0900000000	-4.8100000000	33.5000000000	-207.0000000000	-7.3000000000	601.5000000000	166.6000000000	2017-198	19:07:56.246
56	3966.2100000000	4.2600000000	-4.6600000000	33.5000000000	-207.4000000000	-6.4000000000	601.2000000000	165.8000000000	2017-198	19:07:56.854
57	3966.8400000000	3.3800000000	-5.1800000000	33.6000000000	-206.4000000000	1.7000000000	601.6000000000	165.6000000000	2017-198	19:07:57.447
58	3967.4700000000	2.9400000000	-4.1100000000	33.5000000000	-205.2000000000	-0.8000000000	601.2000000000	168.9000000000	2017-198	19:07:58.056
59	3968.1100000000	4.7300000000	-5.2000000000	33.6000000000	-208.2000000000	-4.8000000000	601.4000000000	163.1000000000	2017-198	19:07:58.695
60	3968.7400000000	3.4000000000	-4.5400000000	33.5000000000	-205.6000000000	1.2000000000	601.5000000000	166.2000000000	2017-198	19:07:59.428
