awavelength,cwavelength,ats1,cts1,bts1,asv,a_spec,aflat,ats3,cts3,bts3,asv,a_spec,aflat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596.7,600.4,0.044677541,0.567631311,0.523005792,0.110457704,0.042108541,0.095376479,0.674429787,2.209553579,1.537391457,0.170173245,0.671860787,0.160644163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601.4,605.3,0.044611459,0.566285015,0.518840525,0.109867743,0.041022459,0.095310397,0.671549239,2.195059978,1.522910455,0.172042392,0.667960239,0.157763615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.1,609.8,0.048025623,0.563111417,0.51339875,0.112597477,0.043815623,0.098724561,0.672272658,2.181185662,1.508118398,0.17761753,0.668062658,0.158487034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610.5,614.7,0.050031838,0.561305428,0.510799853,0.11427682,0.045824338,0.100730776,0.673217595,2.167229271,1.494612093,0.182992466,0.669010095,0.159431971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615.4,619.4,0.050584531,0.555629106,0.505742953,0.11419349,0.046563531,0.101283468,0.672517108,2.153147363,1.48176856,0.186504592,0.668496108,0.158731484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619.9,624,0.049798856,0.550513088,0.503277206,0.11309769,0.046138856,0.100497794,0.671236514,2.139001282,1.470794887,0.188823307,0.667576514,0.15745089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624.7,628.7,0.046798301,0.551161546,0.50569908,0.110401742,0.043937301,0.097497238,0.667689058,2.124648433,1.460139737,0.188770685,0.664828058,0.153903434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,633.4,0.045362278,0.547839203,0.505540543,0.10894578,0.043027278,0.096061216,0.664270169,2.110709301,1.449705904,0.18877404,0.661935169,0.150484545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633.7,638,0.042089777,0.538842978,0.497904591,0.10471288,0.040399777,0.092788715,0.660780662,2.096831229,1.438388785,0.188996491,0.659090662,0.146995039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638.8,642.8,0.040724175,0.54201826,0.504120018,0.104129012,0.039644175,0.091423113,0.658007427,2.083575565,1.429789678,0.189043719,0.656927427,0.144221803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
