SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6417952302	7.7275017380	-0.3928465204	2.9656456728	34868	17.4476075085	83	332.1400000000	0	2017-198	18:05:58.007
0068	12.1200000000	4.9800000000	14.9700000000	36.0000000000	39.6417952302	7.7024531100	-0.3943573580	2.9656456728	34867	17.4406886537	84	332.2500000000	0	2017-198	18:05:58.007
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.6417952302	7.7212395810	-0.3777382247	2.8730898048	34867	17.4406886537	85	332.3500000000	0	2017-198	18:05:58.116
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6456186467	7.7212395810	-0.3596084643	2.7208454548	34867	17.4406886537	86	332.4500000000	0	2017-198	18:05:58.303
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.6456186467	7.7212395810	-0.3520544600	2.4671739250	34867	17.4360760779	87	332.5600000000	0	2017-198	18:05:58.303
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6379718395	7.7400260520	-0.3883140162	2.0704257856	34866	17.4337697882	88	332.7200000000	0	2017-198	18:05:58.475
0068	12.0300000000	4.9500000000	14.9700000000	36.5000000000	39.6379718395	7.7525503660	-0.4578138696	1.6828310862	34866	17.4406886537	89	332.8600000000	0	2017-198	18:05:58.615
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6341484742	7.7525503660	-0.5167400988	1.3624725955	34866	17.4429949399	90	332.9600000000	0	2017-198	18:05:58.709
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6303251348	7.7588125230	-0.5983339598	0.8099926126	34865	17.4383823664	91	333.1200000000	0	2017-198	18:05:58.880
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6265018207	7.7713368370	-0.6119333541	0.3918110274	34865	17.4383823664	92	333.2700000000	0	2017-198	18:05:59.021
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6150320335	7.7775989940	-0.5817126399	0.1790903042	34865	17.4406886537	93	333.3700000000	0	2017-198	18:05:59.224
0068	12.1200000000	4.9500000000	15.0000000000	36.0000000000	39.6150320335	7.7963854650	-0.5303387775	0.0615994522	34865	17.4314634972	94	333.4700000000	0	2017-198	18:05:59.224
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5997393449	7.7963854650	-0.4109766695	0.0511897694	34864	17.4107068205	95	333.6300000000	0	2017-198	18:05:59.395
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5806240645	7.8026476220	-0.2991774609	0.1314968270	34864	17.3807247575	96	333.7700000000	0	2017-198	18:05:59.536
