FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
159	5012.7800000000	-0.9700000000	-5.2400000000	34.3000000000	-136.7000000000	150.6000000000	602.5000000000	119.3000000000	2017-198	19:25:23.369
160	5013.4200000000	-0.8000000000	-4.7300000000	34.4000000000	-134.4000000000	152.0000000000	602.7000000000	119.8000000000	2017-198	19:25:24.087
161	5014.0600000000	-0.7800000000	-4.7200000000	34.4000000000	-134.4000000000	153.5000000000	602.5000000000	119.5000000000	2017-198	19:25:24.648
162	5014.7100000000	-0.4200000000	-4.8400000000	34.4000000000	-134.8000000000	152.6000000000	602.7000000000	118.7000000000	2017-198	19:25:25.303
163	5015.3500000000	-0.8400000000	-4.7200000000	34.4000000000	-135.2000000000	151.5000000000	602.9000000000	120.2000000000	2017-198	19:25:25.927
164	5015.9900000000	-0.5600000000	-4.6800000000	34.4000000000	-134.6000000000	152.0000000000	602.2000000000	119.5000000000	2017-198	19:25:26.629
165	5016.6300000000	-0.8400000000	-5.0300000000	34.4000000000	-136.4000000000	152.6000000000	602.7000000000	119.3000000000	2017-198	19:25:27.285
166	5017.2700000000	-0.3900000000	-4.8200000000	34.4000000000	-135.4000000000	150.6000000000	602.5000000000	119.3000000000	2017-198	19:25:27.940
167	5017.9100000000	-0.6200000000	-4.8600000000	34.3000000000	-135.0000000000	151.5000000000	602.3000000000	119.3000000000	2017-198	19:25:28.579
168	5018.5500000000	-0.7700000000	-4.8200000000	34.4000000000	-136.8000000000	152.0000000000	602.5000000000	120.1000000000	2017-198	19:25:29.141
169	5019.2000000000	-0.5400000000	-5.1100000000	34.3000000000	-136.7000000000	149.4000000000	602.5000000000	119.2000000000	2017-198	19:25:29.827
170	5019.8400000000	-0.9200000000	-4.7900000000	34.4000000000	-135.4000000000	151.3000000000	602.7000000000	120.2000000000	2017-198	19:25:30.483
171	5020.4800000000	-0.8900000000	-5.0400000000	34.4000000000	-137.6000000000	152.2000000000	602.5000000000	119.8000000000	2017-198	19:25:31.138
172	5021.1200000000	-0.7800000000	-5.0400000000	34.4000000000	-137.4000000000	150.4000000000	602.7000000000	119.9000000000	2017-198	19:25:31.715
173	5021.7600000000	-0.8300000000	-4.9900000000	34.4000000000	-137.0000000000	150.8000000000	602.7000000000	119.9000000000	2017-198	19:25:32.370
174	5022.4000000000	-1.0400000000	-4.9700000000	34.4000000000	-137.2000000000	151.7000000000	602.7000000000	120.3000000000	2017-198	19:25:32.979
175	5023.0400000000	-0.6000000000	-5.0200000000	34.4000000000	-137.6000000000	149.9000000000	602.7000000000	119.8000000000	2017-198	19:25:33.681
176	5023.6800000000	-0.9300000000	-4.8700000000	34.3000000000	-137.1000000000	150.3000000000	602.5000000000	120.7000000000	2017-198	19:25:34.258
177	5024.3200000000	-0.8700000000	-5.1400000000	34.3000000000	-138.7000000000	150.6000000000	602.5000000000	120.1000000000	2017-198	19:25:34.897
178	5024.9600000000	-0.7000000000	-4.7500000000	34.4000000000	-137.8000000000	149.3000000000	602.5000000000	121.0000000000	2017-198	19:25:35.553
179	5025.6000000000	-0.6500000000	-4.6700000000	34.4000000000	-137.0000000000	149.5000000000	602.5000000000	120.9000000000	2017-198	19:25:36.192
180	5026.2400000000	-0.8300000000	-4.7900000000	34.4000000000	-138.4000000000	151.1000000000	602.5000000000	120.9000000000	2017-198	19:25:36.816
181	5026.8800000000	-0.6200000000	-4.9600000000	34.4000000000	-138.8000000000	149.7000000000	602.5000000000	120.4000000000	2017-198	19:25:37.518
182	5027.5200000000	-0.8900000000	-4.7700000000	34.4000000000	-138.0000000000	149.0000000000	602.5000000000	121.4000000000	2017-198	19:25:38.095
183	5028.1600000000	-0.6600000000	-5.0900000000	34.4000000000	-139.8000000000	149.9000000000	602.7000000000	120.3000000000	2017-198	19:25:38.751
184	5028.8000000000	-0.7000000000	-4.8400000000	34.4000000000	-139.2000000000	149.5000000000	602.5000000000	121.0000000000	2017-198	19:25:39.484
185	5029.4400000000	-0.6000000000	-4.8800000000	34.4000000000	-138.4000000000	149.3000000000	602.5000000000	120.5000000000	2017-198	19:25:40.123
186	5030.0800000000	-0.8300000000	-5.1100000000	34.4000000000	-139.8000000000	150.2000000000	602.7000000000	120.5000000000	2017-198	19:25:40.669
187	5030.7200000000	-0.7900000000	-5.0100000000	34.3000000000	-140.3000000000	149.0000000000	602.3000000000	121.1000000000	2017-198	19:25:41.371
188	5031.3600000000	-0.6200000000	-4.6900000000	34.4000000000	-138.8000000000	148.8000000000	602.5000000000	121.4000000000	2017-198	19:25:41.933
189	5032.0000000000	-0.8400000000	-5.0200000000	34.4000000000	-139.4000000000	148.8000000000	602.5000000000	120.9000000000	2017-198	19:25:42.682
190	5032.6400000000	-0.6500000000	-5.5700000000	34.3000000000	-140.9000000000	144.9000000000	602.3000000000	120.0000000000	2017-198	19:25:43.212
191	5033.2800000000	-0.7400000000	-4.7000000000	34.4000000000	-140.0000000000	147.9000000000	602.2000000000	122.1000000000	2017-198	19:25:43.930
192	5033.9200000000	-0.6900000000	-4.8800000000	34.4000000000	-140.5000000000	149.3000000000	602.5000000000	121.3000000000	2017-198	19:25:44.492
193	5034.5600000000	-0.7500000000	-5.1800000000	34.4000000000	-141.7000000000	147.0000000000	602.7000000000	121.3000000000	2017-198	19:25:45.194
194	5035.2000000000	-0.6200000000	-4.6500000000	34.4000000000	-140.1000000000	147.2000000000	602.5000000000	122.2000000000	2017-198	19:25:45.786
195	5035.8400000000	-0.6400000000	-4.9700000000	34.4000000000	-142.1000000000	148.6000000000	602.5000000000	121.6000000000	2017-198	19:25:46.473
196	5036.4800000000	-0.5700000000	-4.9200000000	34.4000000000	-142.9000000000	146.8000000000	602.5000000000	122.1000000000	2017-198	19:25:47.066
197	5037.1300000000	-0.7700000000	-4.8300000000	34.4000000000	-141.9000000000	146.6000000000	602.5000000000	122.6000000000	2017-198	19:25:47.705
198	5037.7700000000	-0.7900000000	-5.2900000000	34.4000000000	-143.1000000000	147.0000000000	602.7000000000	121.4000000000	2017-198	19:25:48.423
199	5038.4100000000	-0.8200000000	-5.0700000000	34.4000000000	-143.7000000000	146.1000000000	602.7000000000	122.5000000000	2017-198	19:25:49.016
