Sample Name, DR-05P0
Time, 2017/07/12 03:16:07
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
814.0, -0.0021, 100.49
815.0, -0.0022, 100.50
816.0, -0.0021, 100.49
817.0, -0.0021, 100.48
818.0, -0.0020, 100.47
819.0, -0.0020, 100.47
820.0, -0.0020, 100.46
821.0, -0.0020, 100.47
822.0, -0.0020, 100.47
823.0, -0.0021, 100.48
824.0, -0.0021, 100.49
825.0, -0.0022, 100.50
826.0, -0.0022, 100.50
827.0, -0.0022, 100.51
828.0, -0.0023, 100.52
829.0, -0.0023, 100.54
830.0, -0.0022, 100.51
831.0, -0.0023, 100.52
832.0, -0.0021, 100.48
833.0, -0.0020, 100.46
834.0, -0.0019, 100.44
835.0, -0.0018, 100.41
836.0, -0.0016, 100.38
837.0, -0.0015, 100.36
838.0, -0.0015, 100.35
839.0, -0.0014, 100.33
840.0, -0.0014, 100.31
841.0, -0.0014, 100.32
842.0, -0.0014, 100.32
843.0, -0.0013, 100.29
844.0, -0.0013, 100.30
845.0, -0.0012, 100.28
846.0, -0.0013, 100.30
847.0, -0.0013, 100.30
848.0, -0.0014, 100.31
849.0, -0.0014, 100.32
850.0, -0.0014, 100.31
