Sample Name, RO-01P0
Time, 2017/07/12 05:20:08
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
781.0, 0.0003, 99.94
782.0, 0.0002, 99.96
783.0, 0.0001, 99.97
784.0, 0.0002, 99.96
785.0, 0.0001, 99.97
786.0, 0.0001, 99.97
787.0, 0.0001, 99.97
788.0, 0.0001, 99.98
789.0, 0.0001, 99.98
790.0, 0.0001, 99.98
791.0, 0.0001, 99.97
792.0, 0.0001, 99.97
793.0, 0.0001, 99.98
794.0, 0.0001, 99.97
795.0, 0.0001, 99.97
796.0, 0.0001, 99.98
797.0, 0.0001, 99.97
798.0, 0.0001, 99.97
799.0, 0.0002, 99.96
800.0, 0.0001, 99.97
801.0, 0.0002, 99.95
802.0, 0.0002, 99.96
803.0, 0.0002, 99.95
804.0, 0.0002, 99.96
805.0, 0.0002, 99.95
806.0, 0.0002, 99.96
807.0, 0.0002, 99.95
808.0, 0.0002, 99.95
809.0, 0.0002, 99.95
810.0, 0.0002, 99.95
811.0, 0.0002, 99.94
812.0, 0.0002, 99.94
813.0, 0.0002, 99.95
814.0, 0.0002, 99.95
815.0, 0.0002, 99.96
816.0, 0.0001, 99.97
817.0, 0.0002, 99.96
818.0, 0.0001, 99.97
819.0, 0.0002, 99.96
820.0, 0.0002, 99.96
821.0, 0.0002, 99.95
822.0, 0.0002, 99.95
823.0, 0.0002, 99.96
824.0, 0.0001, 99.97
825.0, 0.0002, 99.96
826.0, 0.0002, 99.96
827.0, 0.0001, 99.97
828.0, 0.0003, 99.94
829.0, 0.0002, 99.96
830.0, 0.0002, 99.96
831.0, 0.0002, 99.95
832.0, 0.0002, 99.97
833.0, 0.0002, 99.97
834.0, 0.0002, 99.95
835.0, 0.0003, 99.93
836.0, 0.0004, 99.91
837.0, 0.0003, 99.92
838.0, 0.0003, 99.92
839.0, 0.0003, 99.92
840.0, 0.0003, 99.93
841.0, 0.0003, 99.93
842.0, 0.0003, 99.93
843.0, 0.0003, 99.93
844.0, 0.0003, 99.93
845.0, 0.0003, 99.93
846.0, 0.0003, 99.93
847.0, 0.0002, 99.95
848.0, 0.0003, 99.94
849.0, 0.0003, 99.93
850.0, 0.0003, 99.93
