RO-05P0, Time, 2017/07/12 03:07:58
RO-05P0, Operator, Smith 
RO-05P0, Lamp, 255 
RO-05P0, Slit,0.0  
RO-05P0, Scan From, 850.0nm
RO-05P0, Scan To, 390.0nm
RO-05P0, Scan Step, 1.0nm
RO-05P0, Sample Filter, 11
RO-05P0, memo,  
RO-05P0, 681.0, -0.0008, 100.18
RO-05P0, 682.0, -0.0008, 100.18
RO-05P0, 683.0, -0.0008, 100.18
RO-05P0, 684.0, -0.0007, 100.17
RO-05P0, 685.0, -0.0007, 100.17
RO-05P0, 686.0, -0.0007, 100.16
RO-05P0, 687.0, -0.0007, 100.15
RO-05P0, 688.0, -0.0007, 100.16
RO-05P0, 689.0, -0.0007, 100.16
RO-05P0, 690.0, -0.0007, 100.15
RO-05P0, 691.0, -0.0007, 100.16
RO-05P0, 692.0, -0.0006, 100.15
RO-05P0, 693.0, -0.0007, 100.16
RO-05P0, 694.0, -0.0006, 100.15
RO-05P0, 695.0, -0.0006, 100.14
RO-05P0, 696.0, -0.0006, 100.15
RO-05P0, 697.0, -0.0006, 100.14
RO-05P0, 698.0, -0.0007, 100.16
RO-05P0, 699.0, -0.0007, 100.16
RO-05P0, 700.0, -0.0008, 100.17
RO-05P0, 701.0, -0.0007, 100.15
RO-05P0, 702.0, -0.0007, 100.16
RO-05P0, 703.0, -0.0006, 100.15
RO-05P0, 704.0, -0.0007, 100.16
RO-05P0, 705.0, -0.0007, 100.16
RO-05P0, 706.0, -0.0007, 100.15
RO-05P0, 707.0, -0.0006, 100.15
RO-05P0, 708.0, -0.0006, 100.15
RO-05P0, 709.0, -0.0006, 100.14
RO-05P0, 710.0, -0.0006, 100.14
RO-05P0, 711.0, -0.0006, 100.13
RO-05P0, 712.0, -0.0006, 100.15
RO-05P0, 713.0, -0.0006, 100.14
RO-05P0, 714.0, -0.0006, 100.15
RO-05P0, 715.0, -0.0007, 100.15
RO-05P0, 716.0, -0.0007, 100.15
RO-05P0, 717.0, -0.0007, 100.16
RO-05P0, 718.0, -0.0007, 100.16
RO-05P0, 719.0, -0.0006, 100.14
