SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG500,SIG675,SIG870,STD380,STD440,STD500,STD675,STD870,R380_440,R440_500,R500_675,R675_870,AOT380,AOT440,AOT500,AOT675,AOT870,WATER
4079,7/17/17,19:20:32,43.933,-69.583,0,1023,39.5,1.295,1.032,25.6,0,731.79,323.72,568.13,784.22,704.47,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2605,0.5698,0.7245,1.1132,0.396,0.349,0.259,0.15,0.074,Na  
4079,7/17/17,19:21:08,43.933,-69.583,0,1023,39.6,1.297,1.032,25.6,0,733.61,336.67,569.72,786.62,704.26,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.179,0.5909,0.7243,1.1169,0.393,0.318,0.256,0.147,0.074,Na  
4079,7/17/17,19:21:17,43.933,-69.583,0,1023,39.62,1.297,1.032,25.6,0,732.73,327.79,567.79,785.01,703.17,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2353,0.5773,0.7233,1.1164,0.394,0.338,0.259,0.149,0.075,Na  
4079,7/17/17,19:21:26,43.933,-69.583,0,1023,39.65,1.298,1.032,25.6,0,732.53,339.83,569.86,787,700.73,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1556,0.5963,0.7241,1.1231,0.394,0.31,0.256,0.147,0.078,Na  
4079,7/17/17,19:21:37,43.933,-69.583,0,1023,39.68,1.298,1.032,25.6,0,732.2,338.79,563.97,774.21,692.68,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1612,0.6007,0.7284,1.1177,0.394,0.312,0.264,0.159,0.086,Na  
4079,7/17/17,19:21:47,43.933,-69.583,0,1022,39.71,1.299,1.032,25.6,0,733.45,339.86,570.17,784.52,701.26,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1581,0.5961,0.7268,1.1187,0.392,0.31,0.255,0.149,0.077,Na  
4079,7/17/17,19:21:58,43.933,-69.583,0,1023,39.74,1.299,1.032,25.6,0,732.02,335.96,569.61,784.39,700.72,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1789,0.5898,0.7262,1.1194,0.393,0.318,0.256,0.149,0.077,Na  
4079,7/17/17,19:28:53,43.933,-69.583,0,1025,40.9,1.322,1.032,27,0,723.87,333.21,566.36,782.61,699.77,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1724,0.5883,0.7237,1.1184,0.386,0.314,0.253,0.147,0.077,Na  
4079,7/17/17,19:29:36,43.933,-69.583,0,1024,41.02,1.324,1.032,27.2,0,721.28,335.47,567.17,779.99,702.02,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1501,0.5915,0.7271,1.1111,0.388,0.309,0.251,0.15,0.074,Na  
4079,7/17/17,19:30:02,43.933,-69.583,0,1024,41.09,1.326,1.032,27.3,0,720.93,321.6,562.97,780.03,698.66,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2417,0.5713,0.7217,1.1165,0.387,0.34,0.257,0.149,0.078,Na  
4079,7/17/17,19:30:37,43.933,-69.583,0,1023,41.19,1.328,1.032,27.3,0,718.65,338.21,562.87,770.14,676.22,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1249,0.6009,0.7309,1.1389,0.389,0.301,0.256,0.159,0.102,Na  
4079,7/17/17,19:30:48,43.933,-69.583,0,1024,41.22,1.328,1.032,27.3,0,717.54,336.7,562.54,769.62,680.4,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1311,0.5985,0.7309,1.1311,0.389,0.304,0.256,0.159,0.098,Na  
4079,7/17/17,19:31:01,43.933,-69.583,0,1024,41.26,1.329,1.032,27.3,0,709.06,328.87,562.71,780.6,696.76,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1561,0.5844,0.7209,1.1203,0.398,0.322,0.256,0.148,0.08,Na  
4079,7/17/17,19:31:11,43.933,-69.583,0,1023,41.29,1.33,1.032,27.3,0,716.72,332.75,565.49,782.02,701.07,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1539,0.5884,0.7231,1.1155,0.39,0.313,0.252,0.147,0.075,Na  
4079,7/17/17,19:31:22,43.933,-69.583,0,1023,41.32,1.33,1.032,27.3,0,711.25,336,562.73,775.69,697.62,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1168,0.5971,0.7254,1.1119,0.395,0.305,0.256,0.153,0.079,Na  
4079,7/17/17,19:31:32,43.933,-69.583,0,1024,41.35,1.331,1.032,27.3,0,714.5,334.46,562.28,779.61,696.17,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1363,0.5948,0.7212,1.1199,0.391,0.308,0.256,0.149,0.08,Na  
4079,7/17/17,19:35:05,43.933,-69.583,0,1023,41.95,1.343,1.032,26.8,0,711.82,326.75,560.03,782.81,701.82,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1785,0.5834,0.7154,1.1154,0.386,0.321,0.255,0.144,0.073,Na  
4079,7/17/17,19:35:16,43.933,-69.583,0,1023,41.98,1.344,1.032,26.8,0,712.37,331.85,557.32,765.6,674.96,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1466,0.5954,0.728,1.1343,0.385,0.309,0.259,0.161,0.102,Na  
4079,7/17/17,19:35:42,43.933,-69.583,0,1023,42.05,1.345,1.032,26.9,0,709.71,331.56,560.26,773.95,695.35,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1405,0.5918,0.7239,1.113,0.387,0.309,0.254,0.152,0.08,Na  
4079,7/17/17,19:35:51,43.933,-69.583,0,1022,42.08,1.346,1.032,26.9,0,711.27,336.05,561.47,771.99,693.79,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1165,0.5985,0.7273,1.1127,0.386,0.299,0.253,0.154,0.082,Na  
4079,7/17/17,19:36:01,43.933,-69.583,0,1022,42.11,1.347,1.032,26.9,0,710.69,328.69,558.37,778.3,697.27,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1622,0.5887,0.7174,1.1162,0.386,0.315,0.257,0.148,0.078,Na  
